run_id	step	reward
breakout_1656253812_89b07dc8	1635	8
breakout_1656253812_89b07dc8	1638	5
breakout_1656253812_89b07dc8	1640	9
breakout_1656253812_89b07dc8	1643	13
breakout_1656253812_89b07dc8	1645	8
breakout_1656253812_89b07dc8	1648	5
breakout_1656253812_89b07dc8	1650	14
breakout_1656253812_89b07dc8	1653	8
breakout_1656253812_89b07dc8	1655	8
breakout_1656253812_89b07dc8	1658	11
breakout_1656253812_89b07dc8	1660	11
breakout_1656253812_89b07dc8	1663	11
breakout_1656253812_89b07dc8	1665	5
breakout_1656253812_89b07dc8	1668	9
breakout_1656253812_89b07dc8	1671	8
breakout_1656253812_89b07dc8	1673	5
breakout_1656253812_89b07dc8	1676	8
breakout_1656253812_89b07dc8	1678	10
breakout_1656253812_89b07dc8	1681	6
breakout_1656253812_89b07dc8	1683	8
breakout_1656253812_89b07dc8	1686	8
breakout_1656253812_89b07dc8	1688	7
breakout_1656253812_89b07dc8	1691	4
breakout_1656253812_89b07dc8	1693	7
breakout_1656253812_89b07dc8	1696	6
breakout_1656253812_89b07dc8	1698	8
breakout_1656253812_89b07dc8	1701	9
breakout_1656253812_89b07dc8	1703	6
breakout_1656253812_89b07dc8	1706	7
breakout_1656253812_89b07dc8	1709	5
breakout_1656253812_89b07dc8	1711	8
breakout_1656253812_89b07dc8	1714	
breakout_1656253812_89b07dc8	1716	8
breakout_1656253812_89b07dc8	1719	13
breakout_1656253812_89b07dc8	1721	18
breakout_1656253812_89b07dc8	1724	10
breakout_1656253812_89b07dc8	1726	5
breakout_1656253812_89b07dc8	1729	8
breakout_1656253812_89b07dc8	1731	6
breakout_1656253812_89b07dc8	1734	14
breakout_1656253812_89b07dc8	1736	8
