run_id	step	reward_sma
breakout_1656253812_89b07dc8	1450	7.42
breakout_1656253812_89b07dc8	1453	7.49
breakout_1656253812_89b07dc8	1456	7.48
breakout_1656253812_89b07dc8	1458	7.45
breakout_1656253812_89b07dc8	1461	7.41
breakout_1656253812_89b07dc8	1464	7.41
breakout_1656253812_89b07dc8	1466	7.46
breakout_1656253812_89b07dc8	1469	7.43
breakout_1656253812_89b07dc8	1472	7.31
breakout_1656253812_89b07dc8	1474	7.33
breakout_1656253812_89b07dc8	1477	7.36
breakout_1656253812_89b07dc8	1480	7.34
breakout_1656253812_89b07dc8	1482	7.41
breakout_1656253812_89b07dc8	1485	7.46
breakout_1656253812_89b07dc8	1488	7.48
breakout_1656253812_89b07dc8	1490	7.46
breakout_1656253812_89b07dc8	1493	7.45
breakout_1656253812_89b07dc8	1496	7.39
breakout_1656253812_89b07dc8	1498	7.45
breakout_1656253812_89b07dc8	1501	7.46
breakout_1656253812_89b07dc8	1504	7.49
breakout_1656253812_89b07dc8	1506	7.47
breakout_1656253812_89b07dc8	1509	7.4
breakout_1656253812_89b07dc8	1512	7.34
breakout_1656253812_89b07dc8	1514	7.28
breakout_1656253812_89b07dc8	1517	7.31
breakout_1656253812_89b07dc8	1520	7.28
breakout_1656253812_89b07dc8	1522	7.27
breakout_1656253812_89b07dc8	1525	7.31
breakout_1656253812_89b07dc8	1528	7.27
breakout_1656253812_89b07dc8	1530	7.15
breakout_1656253812_89b07dc8	1533	7.14
breakout_1656253812_89b07dc8	1536	7.15
breakout_1656253812_89b07dc8	1538	7.14
breakout_1656253812_89b07dc8	1541	7.07
breakout_1656253812_89b07dc8	1544	7.08
breakout_1656253812_89b07dc8	1546	7.09
breakout_1656253812_89b07dc8	1549	6.99
breakout_1656253812_89b07dc8	1552	7
breakout_1656253812_89b07dc8	1554	6.95
breakout_1656253812_89b07dc8	1557	6.99
breakout_1656253812_89b07dc8	1560	7.01
breakout_1656253812_89b07dc8	1562	7.05
breakout_1656253812_89b07dc8	1565	7.08
breakout_1656253812_89b07dc8	1568	7.03
breakout_1656253812_89b07dc8	1570	6.96
breakout_1656253812_89b07dc8	1573	7.02
breakout_1656253812_89b07dc8	1576	7.1
breakout_1656253812_89b07dc8	1578	7.09
breakout_1656253812_89b07dc8	1581	7.08
breakout_1656253812_89b07dc8	1584	7.16
breakout_1656253812_89b07dc8	1586	7.14
breakout_1656253812_89b07dc8	1589	7.18
breakout_1656253812_89b07dc8	1592	7.1
breakout_1656253812_89b07dc8	1594	7.08
breakout_1656253812_89b07dc8	1597	7.11
breakout_1656253812_89b07dc8	1599	7.14
breakout_1656253812_89b07dc8	1602	7.03
breakout_1656253812_89b07dc8	1605	7.05
breakout_1656253812_89b07dc8	1607	7.07
breakout_1656253812_89b07dc8	1610	7.04
breakout_1656253812_89b07dc8	1613	7.19
breakout_1656253812_89b07dc8	1615	7.25
breakout_1656253812_89b07dc8	1618	7.36
breakout_1656253812_89b07dc8	1621	7.51
breakout_1656253812_89b07dc8	1623	7.54
breakout_1656253812_89b07dc8	1626	7.64
breakout_1656253812_89b07dc8	1629	7.7
breakout_1656253812_89b07dc8	1631	7.71
breakout_1656253812_89b07dc8	1634	7.69
breakout_1656253812_89b07dc8	1637	7.85
breakout_1656253812_89b07dc8	1639	7.83
breakout_1656253812_89b07dc8	1642	7.88
breakout_1656253812_89b07dc8	1645	7.91
